field_season	plot	date_collected	species	sex	weight	calibrated
2014	1	140901	DM	M	40	Y
2014	1	140901	DM	F	36	Y
2014	1	140313	DM	F	51	Y
2014	1	140313	DM	F	44	Y
2014	1	140313	DS	F	146	Y
2014	2	140801	NA	NaN	NaN	Y
2014	2	140801	DM	M	44	Y
2014	2	140801	PF	F	7	Y
2014	2	140801	DM	M	45	Y
2014	2	140801	OT	NaN	NaN	Y
2014	2	140801	DS	M	157	N
2014	2	140801	OX	NaN	NaN	Y
2014	2	140218	NA	M	218	N
2014	2	140218	PF	F	7	Y
2014	2	140218	DM	M	52	Y
2014	3	150311	PF	M	8	Y
2014	3	150408	NA	F	NaN	Y
2014	3	150506	NaN	NaN	NaN	Y
2014	3	150518	NA	F	182	Y
2014	3	150609	OT	F	29	Y
2014	3	150708	NA	F	115	Y
2014	3	150708	NA	M	190	Y
2014	4	780108	DM	F	37	Y
2014	4	780108	DM	M	NaN	Y
2014	4	780108	DM	F	48	Y
2014	4	780108	DO	M	52	Y
2014	4	780108	OL	M	35	Y
